#	proc	file:line	register	callee(s)	est_cycles	class
1	Perform_DPLC	engine/objects/dplc.emp:102	a3	QueueDMA_Important	~575/frame-change	review:dplc
2	Perform_DPLC_Deferrable	engine/objects/dplc.emp:117	a3	QueueDMA_Deferrable	~575/frame-change	review:dplc
3	Load_Object	engine/objects/load_object.emp:38	d1	AllocDynamic	~76/spawn	review:load_object
4	Load_Object	engine/objects/load_object.emp:38	d2	AllocDynamic	~76/spawn	review:load_object
5	EntityWindow_BuildEntries	engine/objects/entity_window.emp:718	d6	Collected_ClaimSlot	44-116/child	review:children
6	EntityWindow_BuildEntries	engine/objects/entity_window.emp:718	d7	Collected_ClaimSlot	44-116/child	review:children
7	EntityWindow_BuildEntries	engine/objects/entity_window.emp:718	a3	Collected_ClaimSlot	44-116/child	review:children
8	Collected_CheckRing	engine/objects/entity_window.emp:191	d0	Collected_FindSlot	?	beyond:movem-partial
9	Killed_CheckObject	engine/objects/entity_window.emp:238	d0	Collected_FindSlot	?	beyond:movem-partial
10	EntityWindow_DespawnRings	engine/objects/entity_window.emp:1372	d5	RingBuffer_Remove	?	beyond
11	EntityWindow_DespawnRings	engine/objects/entity_window.emp:1372	d6	RingBuffer_Remove	?	beyond
12	EntityWindow_DespawnRings	engine/objects/entity_window.emp:1372	d7	RingBuffer_Remove	?	beyond
13	EntityWindow_Scan	engine/objects/entity_window.emp:861	d7	EntityWindow_RescanY	?	beyond
14	Section_UpdateColumns	engine/level/section.emp:481	a3	Draw_TileColumn, Draw_TileRow_FromCache	?	beyond
15	TileCache_FillColumn	engine/level/tile_cache.emp:1256	d7	TileCache_CopyBlockColumn	?	beyond
16	TileCache_WarmupBelowRow	engine/level/tile_cache.emp:705	d6	TileCache_DecompressBlock	?	beyond
# NOTES
# - Generated by [proc.dead-save] (D1d) over the real aeon corpus; regenerate:
#     AEON_DIR=/path/to/aeon cargo test -p sigil-frontend-emp --test dead_save_corpus -- --nocapture
# - "callee preserves rN" verdict = rN NOT in the callee's VERIFIED effective set
#   (closure: localWrites ∪ callees − verified_preserves), never raw declared text.
# - file:line is the PROC declaration; the dead save is the movem/push near its top.
# - est_cycles only where the 2026-07-16 review named them; "?" = pass-3 measures.
# - class beyond:movem-partial = a movem saves a register PAIR but only ONE half is
#   needed (Collected_FindSlot preserves d0; d1 is the genuine save). Pass-3 can
#   narrow the movem list, not delete it.
# - SOUND direction: false-negative-leaning. A save with ANY clobbering path, an
#   indirect/hole/⊤ callee, or a scratch use is NOT reported. Each entry is a
#   candidate pass-3 verifies before cutting code.
